Signum,Plats,Socken,Härad,Kommun,KoordinaterX,KoordinaterY,Stilgruppering,Ristare,Materialtyp
Vg 170,Blidsbergs kyrka,Blidsbergs sn,Redvägs hd,Ulricehamn,6424836,1362978,RAK,,sten
Vg 171,Blidsbergs kyrka,Blidsbergs sn,Redvägs hd,Ulricehamn,6424835,1362967,RAK,,sten
Vg 177 $,Humla gamla kyrka,Humla sn,Redvägs hd,Ulricehamn,6428317,1364713,RAK,,sten
Vg 187,Vists kyrka,Vists sn (nu Ulricehamn),Redvägs hd,Ulricehamn,6412544,1357671,RAK,,sten
Vg 188 †,Örby kyrka,Örby sn,Marks hd,Mark,6377163,1313483,?,,sten
Vg 191 M,Nittorps gamla kyrka,Nittorps sn,Kinds hd,Tranemo,6386414,1361979,,,sten
Vg 193,Svenljunga gamla kyrka,Svenljunga sn,Kinds hd,Svenljunga,6377886,1338631,?,Samma som gjort Vg 195.,sten
Vg 197,Dalums kyrka,Dalums sn,Redvägs hd,Ulricehamn,6421840,1362038,RAK [Gräslund muntligt],,sten
Vg 198,Dalums kyrka,Dalums sn,Redvägs hd,Ulricehamn,6421842,1362046,RAK? [Gräslund muntligt],,sten
Vg 199,Norra Lundby kyrka,Norra Lundby sn,Valle hd,Skara,6474543,1372170,,,sten
Vg 200 M,Börstigs kyrka,Börstigs sn,Frökinds hd,Falköping,6432240,1361738,,,sten
Vg 201 $M,Börstigs kyrka,Börstigs sn,Frökinds hd,Falköping,6432243,1361757,,,sten
Vg 244 M,Hemsjö gamla kyrka,Hemsjö sn,Kullings hd,Alingsås,6419119,1303182,,,sten
Vg 246 M,Blidsbergs kyrka,Blidsbergs sn,Redvägs hd,Ulricehamn,6424862,1362984,,,sten
Vg 249 M,Borgstena kyrka,Borgstena sn,Vedens hd,Borås,6420748,1335303,,,sten
Vg 251 M,Finnekumla kyrka,Finnekumla sn,Kinds hd,Ulricehamn,6394926,1353283,,,sten
Vg 252 M,Gällstads kyrka,Gällstads sn,Kinds hd,Ulricehamn,6395790,1358275,,,sten
Vg 258 M,Norra Björke kyrka,Norra Björke sn,Väne hd,Trollhättan,6467124,1307286,,,sten
Vg 259 M,Norra Björke kyrka,Norra Björke sn,Väne hd,Trollhättan,6467124,1307286,,,sten
Vg ATA3940/64,Häggesleds kyrka,Häggesleds sn,Kållands hd,Lidköping,6479738,1330980,?,,sten
Vg ATA322-3652-2010,Skalunda kyrka,Skalunda sn,Kållands hd,Lidköping,6495417,1337138,,,sten
Vg ATA322-4412-2011,Husaby kyrka,Husaby sn,Kinnefjärdings hd,Götene,6491709,1358699,,,sten
Vg Fv1968;283,Norra Härene kyrka,Norra Härene sn,Kinnefjärdings hd,Lidköping,6482610,1345690,?,,sten
Vg GVMV;89,Husaby kyrka,Husaby sn,Kinnefjärdings hd,Götene,6491708,1358696,,,sten
Vg NOR1997;27,Hols kyrka,Hols sn,Kullings hd,Vårgårda,6432190,1314234,RAK [Gräslund muntligt],,sten
U 1,Adelsö kyrka,Adelsö sn,Färentuna hd,Ekerö,6583427,1598196,Pr2?,,sten
U 2 †,Adelsö kyrka,Adelsö sn,Färentuna hd,Ekerö,6583417,1598187,?,Balle (A),sten
U 15 M,Ekerö kyrka,Ekerö sn,Färentuna hd,Ekerö,6573999,1610790,,,sten
U 20 $,Färentuna kyrka,Färentuna sn,Färentuna hd,Ekerö,6587111,1605137,?,Torbjörn skald (A),sten
U 23,Hilleshögs kyrka,Hilleshögs sn,Färentuna hd,Ekerö,6587122,1607806,Pr5,Öpir 1 (S),sten
U 24,Hilleshögs kyrka,Hilleshögs sn,Färentuna hd,Ekerö,6587108,1607800,?,Torbjörn skald (A) [Källström 1999:54f],sten
U 25,Hilleshögs kyrka,Hilleshögs sn,Färentuna hd,Ekerö,6587129,1607801,?,,sten
U 26,Hilleshögs kyrka,Hilleshögs sn,Färentuna hd,Ekerö,6587121,1607808,?,,sten
U 27,Hilleshögs kyrka,Hilleshögs sn,Färentuna hd,Ekerö,6587119,1607808,?,,sten
U 28,Hilleshögs kyrka,Hilleshögs sn,Färentuna hd,Ekerö,6587108,1607796,?,,sten
U 46,Lovö kyrka,Lovö sn,Färentuna hd,Ekerö,6579579,1615821,?,,sten
U 47,Lovö kyrka,Lovö sn,Färentuna hd,Ekerö,6579582,1615839,Pr3,Ärnfast (A),sten
U 48,Lovö kyrka,Lovö sn,Färentuna hd,Ekerö,6579583,1615849,Pr4,,sten
U 49 $,Lovö kyrka,Lovö sn,Färentuna hd,Ekerö,6579589,1615823,Pr3?,Samma som gjort U 50.,sten
U 50,Lovö kyrka,Lovö sn,Färentuna hd,Ekerö,6579606,1615820,?,Samma som gjort U 49.,sten
U 54 †,Riddarholmskyrkan,Stockholm,,Stockholm,6580377,1628605,?,,sten
U 61,Spånga kyrka,Spånga sn,Sollentuna hd,Stockholm,6587527,1619707,RAK,Gunnar (A),sten
U 62,Spånga kyrka,Spånga sn,Sollentuna hd,Stockholm,6587543,1619675,Pr3,Fot 2 (A),sten
U 63 $,Spånga kyrka,Spånga sn,Sollentuna hd,Stockholm,6587543,1619675,?,Olev (A) [Källström 2010e],sten
U 64 M,Spånga kyrka,Spånga sn,Sollentuna hd,Stockholm,6587543,1619675,,,sten
U 65 $,Spånga kyrka,Spånga sn,Sollentuna hd,Stockholm,6587553,1619689,?,,sten
U 66 $,Spånga kyrka,Spånga sn,Sollentuna hd,Stockholm,6587543,1619675,?,Visäte (A) [Källström 1992],sten
U 67,Spånga kyrka,Spånga sn,Sollentuna hd,Stockholm,6587543,1619675,?,Öpir 1 (A) [för få runor för attr. enl. Åhlén 1997],sten
U 82 $,Järfälla kyrka,Järfälla sn,Sollentuna hd,Järfälla,6589391,1617324,?,,sten
U 83 †$,Järfälla kyrka,Järfälla sn,Sollentuna hd,Järfälla,6589391,1617323,?,,sten
U 94,Sollentuna kyrka,Sollentuna sn,Sollentuna hd,Sollentuna,6595907,1619824,?,,sten
U 95,Sollentuna kyrka,Sollentuna sn,Sollentuna hd,Sollentuna,6595912,1619830,RAK,,sten
U 104,Eds kyrka,Eds sn,Sollentuna hd,Upplands-Väsby,6600430,1616810,Pr5,Öpir 1 (S),sten
U 105 †,Eds kyrka,Eds sn,Sollentuna hd,Upplands-Väsby,6600430,1616810,,,sten
U 120 $,Solna kyrka,Solna sn,Danderyds skeppslag,Solna,6583466,1626220,?,,sten
U 127,Danderyds kyrka,Danderyds sn,Danderyds skeppslag,Danderyd,6589524,1626700,Pr2,Fot 2 (A),sten
U 128,Danderyds kyrka,Danderyds sn,Danderyds skeppslag,Danderyd,6589522,1626714,Pr5,Öpir 1 (A),sten
U 129 $,Danderyds kyrka,Danderyds sn,Danderyds skeppslag,Danderyd,6589522,1626714,?,,sten
U 133,Täby kyrka,Täby sn,Danderyds skeppslag,Täby,6598848,1627554,Pr3,Fot 2 (A),sten
U 166,Östra Ryds kyrka,Östra Ryds sn,Danderyds skeppslag,Österåker,6594460,1635621,Pr4,,sten
U 167,Östra Ryds kyrka,Östra Ryds sn,Danderyds skeppslag,Österåker,6594448,1635620,Pr3,Fot 2 (S),sten
U 174 †,Österåkers kyrka,Österåkers sn,Åkers skeppslag,Österåker,6601192,1640319,?,,sten
U 175,Österåkers kyrka,Österåkers sn,Åkers skeppslag,Österåker,6600981,1640621,Pr3??,,sten
U 179,Riala kyrka,Riala sn,Åkers skeppslag,Norrtälje,6615425,1653150,Pr5,Öpir 1 (S),sten
U 180,Össeby-Garns kyrka,Össeby-Garns sn,Vallentuna hd,Vallentuna,6607221,1638404,Pr4?,Visäte (A),sten
U 181 $,Össeby-Garns kyrka,Össeby-Garns sn,Vallentuna hd,Vallentuna,6607217,1638415,Pr5,Öpir 1 (S),sten
U 182 $,Össeby-Garns kyrka,Össeby-Garns sn,Vallentuna hd,Vallentuna,6607260,1638437,Pr4,,sten
U 183 $,Össeby ödekyrka,Össeby-Garns sn,Vallentuna hd,Vallentuna,6606753,1637757,?,Öpir 1 (A) [Åhlén 1997],sten
U 184,Össeby ödekyrka,Össeby-Garns sn,Vallentuna hd,Vallentuna,6606753,1637757,RAK,Visäte (A),sten
U 185 $,Össeby ödekyrka,Össeby-Garns sn,Vallentuna hd,Vallentuna,6606740,1637750,Pr4 - Pr5?,,sten
