Signum,Plats,Socken,Härad,Kommun,KoordinaterX,KoordinaterY,Stilgruppering,Ristare,Materialtyp
Vg 74,Skolgården (gamla kyrkogården),Vinköls sn,Skånings hd,Skara,6469606,1352171,RAK,,sten
Vg 77,Eggby kyrkogård,Eggby sn,Valle hd,Skara,6480143,1374184,RAK,,sten
Vg 81 M,Broddetorps gamla kyrkogård,Broddetorps sn,Gudhems hd,Falköping,6466675,1372109,,,sten
Vg 84 †M,Brunnhems gamla kyrkogård,Brunnhems sn,Gudhems hd,Falköping,6462804,1376257,,,sten
Vg 88 M,Gudhems kyrkogård,Gudhems sn,Gudhems hd,Falköping,6459590,1367823,,,sten
Vg 89 M,Hornborga ödekyrkogård,Hornborga sn,Gudhems hd,Falköping,6465674,1369923,,,sten
Vg 91 M,Högstena kyrkogård,Högstena sn,Gudhems hd,Falköping,6458436,1377447,,,sten
Vg 93 M,Rådene gamla kyrkogård,Rådene sn,Gudhems hd,Skövde,6469385,1380745,,,sten
Vg 94 M,Ugglums kyrkogård,Ugglums sn,Gudhems hd,Falköping,6459347,1365168,,,sten
Vg 95 M,Ugglums kyrkogård,Ugglums sn,Gudhems hd,Falköping,6459347,1365168,,,sten
Vg 96 M,Valtorps kyrkogård,Valtorps sn,Gudhems hd,Falköping,6458150,1373440,,,sten
Vg 97 †M,Södra Kyrketorps kyrkogård,Södra Kyrketorps sn,Gudhems hd,Falköping,6460458,1376813,,,sten
Vg 99 †$M,Värsås kyrkogård,Värsås sn,Kåkinds hd,Skövde,6471100,1397289,,,sten
Vg 100,Flo kyrkogård,Flo sn,Åse hd,Grästorp,6472539,1310393,RAK,,sten
Vg 103,Håle ödekyrkogård,Håle sn,Åse hd,Grästorp,6476941,1323327,RAK??,,sten
Vg 118,Slädene kyrkogård,Slädene sn,Viste hd,Vara,6475881,1329089,Pr1,,sten
Vg 121 †M,Sparlösa kyrkogård,Sparlösa sn,Viste hd,Vara,6473224,1326374,,,sten
Vg 129 M,Skärvums kyrkogård,Grolanda sn,Vilske hd,Falköping,6443151,1357463,,,sten
Vg 132 M,Marka kyrkogård,Marka sn,Vilske hd,Falköping,6450701,1363186,,,sten
Vg 138 M,Vårkumla kyrkogård,Vårkumla sn,Frökinds hd,Falköping,6441019,1367488,,,sten
Vg 139,Vårkumla kyrkogård,Vårkumla sn,Frökinds hd,Falköping,6441019,1367488,Fp,,sten
Vg 142 M,Näs kyrkogård,Näs sn,Vartofta hd,Falköping,6442010,1378085,,,sten
Vg 143 M,Näs kyrkogård,Näs sn,Vartofta hd,Falköping,6442010,1378085,,,sten
Vg 144 M,Näs kyrkogård,Näs sn,Vartofta hd,Falköping,6442010,1378085,,,sten
Vg 145 M,Näs kyrkogård,Näs sn,Vartofta hd,Falköping,6442010,1378085,,,sten
Vg 153,Fölene kyrkogård,Fölene sn,Kullings hd,Herrljunga,6443636,1332889,RAK?,,sten
Vg 154,Fölene kyrkogård,Fölene sn,Kullings hd,Herrljunga,6443644,1332888,RAK,,sten
Vg 165 M,Södra Vings kyrkogård,Södra Vings sn,Ås hd,Ulricehamn,6415361,1350083,,,sten
Vg 166 $,Södra Vings kyrkogård,Södra Vings sn,Ås hd,Ulricehamn,6415363,1350083,RAK,,sten
Vg 167 M,Södra Vings kyrkogård,Södra Vings sn,Ås hd,Ulricehamn,6415377,1350093,?,,sten
Vg 178,Kölaby kyrkogård,Kölaby sn,Redvägs hd,Ulricehamn,6430919,1365744,Pr1,,sten
Vg 184,Smula kyrkogård,Smula sn,Redvägs hd,Falköping,6438721,1369152,Fp,,sten
Vg 186 $,Timmele kyrkogård,Timmele sn,Redvägs hd,Ulricehamn,6416744,1359361,Fp,,sten
U 379,Kyrkogården,Sigtuna,,Sigtuna,6612453,1608240,KB,Torbjörn 2 (S); Torbjörn skald (S),sten
